"date","series_id","value","realtime_start","realtime_end"
2018-07-01,"LNU04073395",3.3,2025-01-20,2025-01-20
2018-08-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2018-09-01,"LNU04073395",3,2025-01-20,2025-01-20
2018-10-01,"LNU04073395",3.1,2025-01-20,2025-01-20
2018-11-01,"LNU04073395",3.2,2025-01-20,2025-01-20
2018-12-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2019-01-01,"LNU04073395",4.5,2025-01-20,2025-01-20
2019-02-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2019-03-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2019-04-01,"LNU04073395",2.7,2025-01-20,2025-01-20
2019-05-01,"LNU04073395",2.8,2025-01-20,2025-01-20
2019-06-01,"LNU04073395",2.7,2025-01-20,2025-01-20
2019-07-01,"LNU04073395",3,2025-01-20,2025-01-20
2019-08-01,"LNU04073395",3.1,2025-01-20,2025-01-20
2019-09-01,"LNU04073395",2.6,2025-01-20,2025-01-20
2019-10-01,"LNU04073395",2.6,2025-01-20,2025-01-20
2019-11-01,"LNU04073395",2.7,2025-01-20,2025-01-20
2019-12-01,"LNU04073395",3.1,2025-01-20,2025-01-20
2020-01-01,"LNU04073395",4,2025-01-20,2025-01-20
2020-02-01,"LNU04073395",3.6,2025-01-20,2025-01-20
2020-03-01,"LNU04073395",4.8,2025-01-20,2025-01-20
2020-04-01,"LNU04073395",16.5,2025-01-20,2025-01-20
2020-05-01,"LNU04073395",15.7,2025-01-20,2025-01-20
2020-06-01,"LNU04073395",13.8,2025-01-20,2025-01-20
2020-07-01,"LNU04073395",12.4,2025-01-20,2025-01-20
2020-08-01,"LNU04073395",10.2,2025-01-20,2025-01-20
2020-09-01,"LNU04073395",8.6,2025-01-20,2025-01-20
2020-10-01,"LNU04073395",7.6,2025-01-20,2025-01-20
2020-11-01,"LNU04073395",6.7,2025-01-20,2025-01-20
2020-12-01,"LNU04073395",7.3,2025-01-20,2025-01-20
2021-01-01,"LNU04073395",8.1,2025-01-20,2025-01-20
2021-02-01,"LNU04073395",7.5,2025-01-20,2025-01-20
2021-03-01,"LNU04073395",6.8,2025-01-20,2025-01-20
2021-04-01,"LNU04073395",6.4,2025-01-20,2025-01-20
2021-05-01,"LNU04073395",5.6,2025-01-20,2025-01-20
2021-06-01,"LNU04073395",5.8,2025-01-20,2025-01-20
2021-07-01,"LNU04073395",5.4,2025-01-20,2025-01-20
2021-08-01,"LNU04073395",5.2,2025-01-20,2025-01-20
2021-09-01,"LNU04073395",4.6,2025-01-20,2025-01-20
2021-10-01,"LNU04073395",4.3,2025-01-20,2025-01-20
2021-11-01,"LNU04073395",3.6,2025-01-20,2025-01-20
2021-12-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2022-01-01,"LNU04073395",4.4,2025-01-20,2025-01-20
2022-02-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2022-03-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2022-04-01,"LNU04073395",3.3,2025-01-20,2025-01-20
2022-05-01,"LNU04073395",3.2,2025-01-20,2025-01-20
2022-06-01,"LNU04073395",3.6,2025-01-20,2025-01-20
2022-07-01,"LNU04073395",3.2,2025-01-20,2025-01-20
2022-08-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2022-09-01,"LNU04073395",2.9,2025-01-20,2025-01-20
2022-10-01,"LNU04073395",3.3,2025-01-20,2025-01-20
2022-11-01,"LNU04073395",3,2025-01-20,2025-01-20
2022-12-01,"LNU04073395",3.1,2025-01-20,2025-01-20
2023-01-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2023-02-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2023-03-01,"LNU04073395",3.2,2025-01-20,2025-01-20
2023-04-01,"LNU04073395",3.1,2025-01-20,2025-01-20
2023-05-01,"LNU04073395",3.2,2025-01-20,2025-01-20
2023-06-01,"LNU04073395",3.3,2025-01-20,2025-01-20
2023-07-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2023-08-01,"LNU04073395",3.7,2025-01-20,2025-01-20
2023-09-01,"LNU04073395",3.6,2025-01-20,2025-01-20
2023-10-01,"LNU04073395",3.8,2025-01-20,2025-01-20
2023-11-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2023-12-01,"LNU04073395",3.8,2025-01-20,2025-01-20
2024-01-01,"LNU04073395",4.5,2025-01-20,2025-01-20
2024-02-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2024-03-01,"LNU04073395",3.6,2025-01-20,2025-01-20
2024-04-01,"LNU04073395",3.9,2025-01-20,2025-01-20
2024-05-01,"LNU04073395",3.4,2025-01-20,2025-01-20
2024-06-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2024-07-01,"LNU04073395",4.7,2025-01-20,2025-01-20
2024-08-01,"LNU04073395",4.3,2025-01-20,2025-01-20
2024-09-01,"LNU04073395",4.2,2025-01-20,2025-01-20
2024-10-01,"LNU04073395",4.1,2025-01-20,2025-01-20
2024-11-01,"LNU04073395",4.5,2025-01-20,2025-01-20
2024-12-01,"LNU04073395",4.3,2025-01-20,2025-01-20
